"OP","OP_DESC","OP_C"
2.43,"REMOVE VENTRICLE SHUNT                        ",2.43
2.91,"LYSIS CORTICAL ADHESION                       ",2.91
2.92,"BRAIN REPAIR                                  ",2.92
2.93,"IMPLANT BRAIN STIMULATOR                      ",2.93
2.94,"INSERT/REPLAC SKULL TONG                      ",2.94
2.95,"REMOVE SKULL TONGS                            ",2.95
2.96,"INSERT SPHENOID ELECTROD                      ",2.96
2.99,"SKULL & BRAIN OP NEC                          ",2.99
3.01,"REMOVAL FB SPINAL CANAL                       ",3.01
3.02,"REOPEN LAMINECTOMY SITE                       ",3.02
3.09,"SPINAL CANAL EXPLOR NEC                       ",3.09
3.1,"INTRASPIN NERVE ROOT DIV                      ",3.1
3.21,"PERCUTANEOUS CHORDOTOMY                       ",3.21
3.29,"OTHER CHORDOTOMY                              ",3.29
3.31,"SPINAL TAP                                    ",3.31
3.32,"SPINAL CORD/MENINGES BX                       ",3.32
3.39,"OTHER SPINAL DX PROC                          ",3.39
3.4,"EXCIS SPINAL CORD LESION                      ",3.4
3.51,"SPINE MENINGOCELE REPAIR                      ",3.51
3.52,"MYELOMENINGOCEL REPAIR                        ",3.52
3.53,"VERTEBRAL FX REPAIR                           ",3.53
3.59,"SPINAL STRUCT REPAIR NEC                      ",3.59
3.6,"SPINAL CORD ADHESIOLYSIS                      ",3.6
3.71,"SUBARACH-PERITON SHUNT                        ",3.71
3.72,"SUBARACH-URETERAL SHUNT                       ",3.72
3.79,"OTH SPINAL THECAL SHUNT                       ",3.79
3.8,"DESTR INJECT-SPINE CANAL                      ",3.8
3.9,"INSERT SPINAL CANAL CATH                      ",3.9
3.91,"ANESTH INJECT-SPIN CANAL                      ",3.91
3.92,"SPINAL CANAL INJECT NEC                       ",3.92
3.93,"INSERT SPINAL STIMULATOR                      ",3.93
3.94,"REMOVE SPINAL STIMULATOR                      ",3.94
3.95,"SPINAL PATCH                                  ",3.95
3.96,"PERCUTAN FACET DENERVAT                       ",3.96
3.97,"REVISE SPINE THECA SHUNT                      ",3.97
3.98,"REMOVE SPINE THECA SHUNT                      ",3.98
3.99,"SPINE CANAL STRUC OP NEC                      ",3.99
4.01,"EXCISE ACOUSTIC NEUROMA                       ",4.01
4.02,"TRIGEMINAL NERV DIVISION                      ",4.02
4.03,"PERIPH NERVE DIV NEC                          ",4.03
4.04,"PERIPH NERVE INCIS NEC                        ",4.04
4.05,"GASSERIAN GANGLIONECTOMY                      ",4.05
4.06,"PERIPH GANGLIONECT NEC                        ",4.06
4.07,"PERIPH NERV EXCISION NEC                      ",4.07
4.11,"PERCUTAN BX-PERIPH NERVE                      ",4.11
4.12,"OPEN BX PERIPHERAL NERVE                      ",4.12
4.19,"PERIPH NERVE DX PROC NEC                      ",4.19
4.2,"PERIPH NERVE DESTRUCTION                      ",4.2
4.3,"PERIPHERAL NERVE SUTURE                       ",4.3
4.41,"DECOMPRESS TRIGEM ROOT                        ",4.41
4.42,"CRAN NERV ROOT DECOM NEC                      ",4.42
4.43,"CARPAL TUNNEL RELEASE                         ",4.43
4.44,"TARSAL TUNNEL RELEASE                         ",4.44
4.49,"PER NERVE ADHESIOLYS NEC                      ",4.49
4.5,"PERIPHERAL NERVE GRAFT                        ",4.5
4.6,"PERIPH NERVE TRANSPOSIT                       ",4.6
4.71,"HYPOGLOSS-FACIAL ANASTOM                      ",4.71
4.72,"ACCESSORY-FACIAL ANASTOM                      ",4.72
4.73,"ACCESS-HYPOGLOSS ANASTOM                      ",4.73
4.74,"PERIPH NERV ANASTOM NEC                       ",4.74
4.75,"POSTOP REVIS PER NERV OP                      ",4.75
4.76,"LATE REPAIR PER NERV INJ                      ",4.76
4.79,"OTHER NEUROPLASTY                             ",4.79
4.8,"PERIPH NERVE INJECT NOS                       ",4.8
4.81,"ANESTH INJEC PERIPH NERV                      ",4.81
4.89,"PERIPH NERVE INJECT NEC                       ",4.89
4.91,"NEURECTASIS                                   ",4.91
4.92,"IMPLANT PERIPH STIMULAT                       ",4.92
4.93,"REMOVE PERIPH STIMULATOR                      ",4.93
4.99,"PERIPHERAL NERVE OPS NEC                      ",4.99
5,"SYMPATH NERVE DIVISION                        ",5
5.11,"SYMPATHETIC NERVE BIOPSY                      ",5.11
5.19,"SYMPATH NRV DX PROC NEC                       ",5.19
5.21,"SPHENOPALATIN GANGLIONEC                      ",5.21
5.22,"CERVICAL SYMPATHECTOMY                        ",5.22
5.23,"LUMBAR SYMPATHECTOMY                          ",5.23
5.24,"PRESACRAL SYMPATHECTOMY                       ",5.24
5.29,"OTHER SYMPATHECTOMY                           ",5.29
5.31,"ANESTH INJECT SYMP NERVE                      ",5.31
5.32,"NEUROLYT INJEC-SYMP NRV                       ",5.32
5.39,"SYMPATH NERVE INJECT NEC                      ",5.39
5.81,"SYMPATHETIC NERVE REPAIR                      ",5.81
5.89,"SYMPATHETIC NERVE OP NEC                      ",5.89
5.9,"OTHER NERVOUS SYSTEM OPS                      ",5.9
6.01,"THYROID FIELD ASPIRATION                      ",6.01
6.02,"REOPEN THYROID FIELD WND                      ",6.02
6.09,"INCIS THYROID FIELD NEC                       ",6.09
6.11,"THYROID NEEDLE BIOPSY                         ",6.11
6.12,"OPEN BX THYROID GLAND                         ",6.12
6.13,"PARATHYROID BIOPSY                            ",6.13
6.19,"THYR/PARATHY DX PROC NEC                      ",6.19
6.2,"UNILAT THYROID LOBECTOMY                      ",6.2
6.31,"EXCISION THYROID LESION                       ",6.31
6.39,"PART THYROIDECTOMY NEC                        ",6.39
6.4,"COMPLETE THYROIDECTOMY                        ",6.4
6.5,"SUBSTERN THYROIDECT NOS                       ",6.5
6.51,"PART SUBSTERN THYROIDECT                      ",6.51
6.52,"TOT SUBSTERN THYROIDECT                       ",6.52
6.6,"LINGUAL THYROID EXCISION                      ",6.6
6.7,"THYROGLOSS DUCT EXCISION                      ",6.7
6.81,"TOTAL PARATHYROIDECTOMY                       ",6.81
6.89,"OTHER PARATHYROIDECTOMY                       ",6.89
6.91,"THYROID ISTHMUS DIVISION                      ",6.91
6.92,"THYROID VESSEL LIGATION                       ",6.92
6.93,"THYROID SUTURE                                ",6.93
6.94,"THYROID REIMPLANTATION                        ",6.94
6.95,"PARATHYROID REIMPLANT                         ",6.95
6.98,"OTHER THYROID OPERATIONS                      ",6.98
6.99,"OTHER PARATHYROID OPS                         ",6.99
7,"ADRENAL EXPLORATION NOS                       ",7
7.01,"UNILAT ADRENAL EXPLORAT                       ",7.01
7.02,"BILAT ADRENAL EXPLORAT                        ",7.02
7.11,"ADRENAL NEEDLE BIOPSY                         ",7.11
7.12,"OPEN BX ADRENAL GLAND                         ",7.12
7.13,"TRANSFRONT PITUITARY BX                       ",7.13
7.14,"TRANSPHEN PITUITARY BX                        ",7.14
7.15,"PITUITARY BIOPSY NOS                          ",7.15
7.16,"THYMUS BIOPSY                                 ",7.16
7.17,"PINEAL BIOPSY                                 ",7.17
7.19,"ENDOCRINE DX PROC NEC                         ",7.19
7.21,"ADRENAL LESION EXCISION                       ",7.21
7.22,"UNILATERAL ADRENALECTOMY                      ",7.22
7.29,"PART ADRENALECTOMY NEC                        ",7.29
7.3,"BILATERAL ADRENALECTOMY                       ",7.3
7.41,"ADRENAL INCISION                              ",7.41
7.42,"ADRENAL NERVE DIVISION                        ",7.42
7.43,"ADRENAL VESSEL LIGATION                       ",7.43
7.44,"ADRENAL REPAIR                                ",7.44
7.45,"ADRENAL REIMPLANTATION                        ",7.45
7.49,"ADRENAL OPERATION NEC                         ",7.49
7.51,"PINEAL FIELD EXPLORATION                      ",7.51
7.52,"PINEAL GLAND INCISION                         ",7.52
7.53,"PARTIAL PINEALECTOMY                          ",7.53
7.54,"TOTAL PINEALECTOMY                            ",7.54
7.59,"PINEAL OPERATION NEC                          ",7.59
7.61,"EXC PITUIT LES-TRANSFRON                      ",7.61
7.62,"EXC PITUIT LES-TRANSPHEN                      ",7.62
7.63,"PART EXCIS PITUITARY NOS                      ",7.63
7.64,"TOT EXC PITUIT-TRANSFRON                      ",7.64
7.65,"TOT EXC PITUIT-TRANSPHEN                      ",7.65
7.68,"TOTAL EXC PITUITARY NEC                       ",7.68
7.69,"TOTAL EXC PITUITARY NOS                       ",7.69
7.71,"PITUITARY FOSSA EXPLORAT                      ",7.71
7.72,"PITUITARY GLAND INCISION                      ",7.72
7.79,"PITUITARY OPERATION NEC                       ",7.79
7.8,"THYMECTOMY NOS                                ",7.8
7.81,"PART EXCISION OF THYMUS                       ",7.81
7.82,"TOTAL EXCISION OF THYMUS                      ",7.82
7.91,"THYMUS FIELD EXPLORATION                      ",7.91
7.92,"INCISION OF THYMUS                            ",7.92
7.93,"REPAIR OF THYMUS                              ",7.93
7.94,"THYMUS TRANSPLANTATION                        ",7.94
7.99,"THYMUS OPERATION NEC                          ",7.99
8.01,"INCISION OF LID MARGIN                        ",8.01
8.02,"BLEPHARORRHAPHY SEVERING                      ",8.02
8.09,"OTHER EYELID INCISION                         ",8.09
8.11,"EYELID BIOPSY                                 ",8.11
8.19,"EYELID DX PROCEDURE NEC                       ",8.19
8.2,"REMOVE EYELID LESION NOS                      ",8.2
8.21,"CHALAZION EXCISION                            ",8.21
8.22,"EXCISE MINOR LES LID NEC                      ",8.22
8.23,"EXC MAJ LES LID PRT-THIC                      ",8.23
8.24,"EXC MAJ LES LID FUL-THIC                      ",8.24
8.25,"DESTRUCTION LID LESION                        ",8.25
8.31,"PTOSIS REP-FRONT MUS SUT                      ",8.31
8.32,"PTOSIS REP-FRON MUS SLNG                      ",8.32
8.33,"PTOSIS REP-LEVAT MUS ADV                      ",8.33
8.34,"PTOSIS REP-LEVAT MUS NEC                      ",8.34
8.35,"PTOS REP-TARSAL TECHNIQ                       ",8.35
8.36,"BLEPHAROPTOS REPAIR NEC                       ",8.36
8.37,"REDUC OVERCORRECT PTOSIS                      ",8.37
8.38,"CORRECT LID RETRACTION                        ",8.38
8.41,"THERMOCAUT/ENTROPION REP                      ",8.41
8.42,"SUTURE ENTROPION REPAIR                       ",8.42
8.43,"WEDG RESEC ENTROPION REP                      ",8.43
8.44,"LID RECONS ENTROPION REP                      ",8.44
8.49,"ENTROPION/ECTROP REP NEC                      ",8.49
8.51,"CANTHOTOMY                                    ",8.51
8.52,"BLEPHARORRHAPHY                               ",8.52
8.59,"ADJUST LID POSITION NEC                       ",8.59
8.61,"LID RECONST W SKIN GRAFT                      ",8.61
8.62,"LID RECONST W MUC GRAFT                       ",8.62
8.63,"LID RECONST W HAIR GRAFT                      ",8.63
8.64,"LID RECON-TARSOCONJ FLAP                      ",8.64
8.69,"LID RECONSTR W GRAFT NEC                      ",8.69
8.7,"LID RECONSTRUCTION NOS                        ",8.7
8.71,"LID MARG RECON-PART THIC                      ",8.71
8.72,"LID RECONS-PART THIC NEC                      ",8.72
8.73,"LID MARG RECONS FUL THIC                      ",8.73
8.74,"LID RECONST-FUL THIC NEC                      ",8.74
8.81,"LINEAR REP LID LACER                          ",8.81
8.82,"LID MARG LAC RX-PART TH                       ",8.82
8.83,"LID LACER RX-PRT TH NEC                       ",8.83
8.84,"LID MARG LAC RX-FUL THIC                      ",8.84
8.85,"LID LAC RX-FUL THIC NEC                       ",8.85
8.86,"LOWER LID RHYTIDECTOMY                        ",8.86
8.87,"UPPER LID RHYTIDECTOMY                        ",8.87
8.89,"EYELID REPAIR NEC                             ",8.89
8.91,"ELECTROSURG LID EPILAT                        ",8.91
8.92,"CRYOSURG LID EPILATION                        ",8.92
8.93,"EYELID EPILATION NEC                          ",8.93
8.99,"EYELID OPERATION NEC                          ",8.99
9,"LACRIMAL GLAND INCISION                       ",9
9.11,"LACRIMAL GLAND BIOPSY                         ",9.11
9.12,"LACRIMAL SAC BIOPSY                           ",9.12
9.19,"LACRIMAL SYS DX PROC NEC                      ",9.19
9.2,"EXC LACRIMAL GLAND NOS                        ",9.2
9.21,"EXCIS LES LACRIMAL GLAND                      ",9.21
9.22,"PART DACRYOADENECT NEC                        ",9.22
9.23,"TOTAL DACRYOADENECTOMY                        ",9.23
9.3,"OTHER LACRIMAL GLAND OPS                      ",9.3
9.41,"LACRIMAL PUNCTUM PROBE                        ",9.41
9.42,"LAC CANALICULI PROBE                          ",9.42
9.43,"NASOLACRIMAL DUCT PROBE                       ",9.43
9.44,"NASOLAC DUCT INTUBAT                          ",9.44
9.49,"LAC PASSAGE MANIP NEC                         ",9.49
9.51,"LAC PUNCTUM INCISION                          ",9.51
9.52,"LAC CANALICULI INCISION                       ",9.52
9.53,"LACRIMAL SAC INCISION                         ",9.53
9.59,"LACRIM PASSAGE INCIS NEC                      ",9.59
9.6,"LACRIM SAC/PASSAGE EXCIS                      ",9.6
9.71,"CORRECT EVERTED PUNCTUM                       ",9.71
9.72,"PUNCTUM REPAIR NEC                            ",9.72
9.73,"CANALICULUS REPAIR                            ",9.73
9.81,"DACRYOCYSTORHINOSTOMY                         ",9.81
9.82,"CONJUNCTIVOCYSTORHINOST                       ",9.82
9.83,"CONJUNCTIVORHINOS W TUBE                      ",9.83
9.91,"LAC PUNCTUM OBLITERATION                      ",9.91
9.99,"LACRIMAL SYSTEM OP NEC                        ",9.99
10,"INCISE/REMOV CONJUNCT FB                      ",10
10.1,"CONJUNCTIVA INCISION NEC                      ",10.1
10.21,"CONJUNCTIVAL BIOPSY                           ",10.21
10.29,"CONJUNCTIVA DX PROC NEC                       ",10.29
10.31,"EXCISE CONJUNCTIV LESION                      ",10.31
10.32,"DESTRUCT CONJUNC LES NEC                      ",10.32
10.33,"OTH CONJUNC DESTRUC PROC                      ",10.33
10.41,"SYMBLEPH REP W FREE GRFT                      ",10.41
10.42,"GRAFT CONJUNC CUL-DE-SAC                      ",10.42
10.43,"CONJUN CUL-DE-SAC RX NEC                      ",10.43
10.44,"CONJUNC FREE GRAFT NEC                        ",10.44
10.49,"CONJUNCTIVOPLASTY NEC                         ",10.49
10.5,"CONJUNC/LID ADHESIOLYSIS                      ",10.5
10.6,"REPAIR CONJUNCT LACERAT                       ",10.6
10.91,"SUBCONJUNCTIVAL INJECT                        ",10.91
10.99,"CONJUNCTIVAL OP NEC                           ",10.99
11,"MAGNET REMOVAL CORNEA FB                      ",11
11.1,"CORNEAL INCISION                              ",11.1
11.21,"CORNEAL SCRAPE FOR SMEAR                      ",11.21
11.22,"CORNEAL BIOPSY                                ",11.22
11.29,"CORNEAL DX PROC NEC                           ",11.29
11.31,"PTERYGIUM TRANSPOSITION                       ",11.31
11.32,"PTERYG EXC W CORNEA GRFT                      ",11.32
11.39,"PTERYGIUM EXCISION NEC                        ",11.39
11.41,"MECH REMOV CORNEA EPITH                       ",11.41
11.42,"THERMOCAUT CORNEA LESION                      ",11.42
11.43,"CRYOTHERAP CORNEA LESION                      ",11.43
11.49,"DESTRUCT CORNEA LES NEC                       ",11.49
11.51,"SUTURE CORNEA LACERATION                      ",11.51
11.52,"REP CORNEA POSTOP DEHISC                      ",11.52
11.53,"RX CORNEA LAC W CONJ FLP                      ",11.53
11.59,"CORNEAL REPAIR NEC                            ",11.59
11.6,"CORNEAL TRANSPLANT NOS                        ",11.6
11.61,"LAM KERATPLAST W AUTGRFT                      ",11.61
11.62,"LAMELLAR KERATOPLAST NEC                      ",11.62
11.63,"PERF KERATOPL W AUTOGRFT                      ",11.63
11.64,"PERFORAT KERATOPLAST NEC                      ",11.64
11.69,"CORNEAL TRANSPLANT NEC                        ",11.69
11.71,"KERATOMELEUSIS                                ",11.71
11.72,"KERATOPHAKIA                                  ",11.72
11.73,"KERATOPROSTHESIS                              ",11.73
11.74,"THERMOKERATOPLASTY                            ",11.74
11.75,"RADIAL KERATOTOMY                             ",11.75
11.76,"EPIKERATOPHAKIA                               ",11.76
11.79,"CORNEA RECONSTRUCT NEC                        ",11.79
11.91,"CORNEAL TATTOOING                             ",11.91
11.92,"REMOVE CORNEAL IMPLANT                        ",11.92
11.99,"CORNEAL OPERATION NEC                         ",11.99
12,"REMOV ANT SEGMNT FB NOS                       ",12
12.01,"MAGNET REMOV ANT SEG FB                       ",12.01
12.02,"NONMAG REMOV ANT SEG FB                       ",12.02
12.11,"IRIDOTOMY W TRANSFIXION                       ",12.11
12.12,"IRIDOTOMY NEC                                 ",12.12
12.13,"PROLAPSED IRIS EXCISION                       ",12.13
12.14,"IRIDECTOMY NEC                                ",12.14
12.21,"DX ASPIRAT-ANT CHAMBER                        ",12.21
12.22,"IRIS BIOPSY                                   ",12.22
12.29,"ANT SEGMENT DX PROC NEC                       ",12.29
12.31,"GONIOSYNECHIAE LYSIS                          ",12.31
12.32,"ANT SYNECHIA LYSIS NEC                        ",12.32
12.33,"POST SYNECHIAE LYSIS                          ",12.33
12.34,"CORNEOVITREAL ADHESIOLYS                      ",12.34
12.35,"COREOPLASTY                                   ",12.35
12.39,"IRIDOPLASTY NEC                               ",12.39
12.4,"REMOV ANT SEGMNT LES NOS                      ",12.4
12.41,"NONEXC DESTRUC IRIS LES                       ",12.41
12.42,"EXCISION OF IRIS LESION                       ",12.42
12.43,"NONEXC DESTR CIL BOD LES                      ",12.43
12.44,"EXCISE CILIARY BODY LES                       ",12.44
12.51,"GONIOPUNCTURE                                 ",12.51
12.52,"GONIOTOMY                                     ",12.52
12.53,"GONIOTOMY W GONIOPUNCTUR                      ",12.53
12.54,"TRABECULOTOMY AB EXTERNO                      ",12.54
12.55,"CYCLODIALYSIS                                 ",12.55
12.59,"FACILIT INTRAOC CIRC NEC                      ",12.59
12.61,"TREPHIN SCLERA W IRIDECT                      ",12.61
12.62,"THERMCAUT SCLER W IRIDEC                      ",12.62
12.63,"IRIDENCLEISIS/IRIDOTASIS                      ",12.63
12.64,"TRABECULECTOM AB EXTERNO                      ",12.64
12.65,"SCLER FISTULIZ W IRIDECT                      ",12.65
12.66,"POSTOP REVIS SCL FISTUL                       ",12.66
12.69,"SCLER FISTULIZING OP NEC                      ",12.69
12.71,"CYCLODIATHERMY                                ",12.71
12.72,"CYCLOCRYOTHERAPY                              ",12.72
12.73,"CYCLOPHOTOCOAGULATION                         ",12.73
12.74,"CIL BODY DIMINUTION NOS                       ",12.74
12.79,"GLAUCOMA PROCEDURE NEC                        ",12.79
12.81,"SUTURE SCLERAL LACER                          ",12.81
12.82,"SCLERAL FISTULA REPAIR                        ",12.82
12.83,"REVIS ANT SEG OP WND NEC                      ",12.83
12.84,"DESTRUCT SCLERAL LESION                       ",12.84
12.85,"REPAIR STAPHYLOM W GRAFT                      ",12.85
12.86,"REP SCLER STAPHYLOMA NEC                      ",12.86
12.87,"GRAFT REINFORCE SCLERA                        ",12.87
12.88,"SCLERA REINFORCEMENT NEC                      ",12.88
12.89,"SCLERAL OPERATION NEC                         ",12.89
12.91,"THERAPEUT EVAC ANT CHAMB                      ",12.91
12.92,"ANTERIOR CHAMBER INJECT                       ",12.92
12.93,"REMOV EPITHEL DOWNGROWTH                      ",12.93
12.97,"IRIS OPERATION NEC                            ",12.97
12.98,"CILIARY BODY OP NEC                           ",12.98
12.99,"ANTERIOR CHAMBER OP NEC                       ",12.99
13,"REMOVE FB LENS NOS                            ",13
13.01,"MAGNET REMOVE FB LENS                         ",13.01
13.02,"NONMAGNET REMOVE FB LENS                      ",13.02
13.11,"TEMP-INF INTRCAP LENS EX                      ",13.11
13.19,"INTRACAPSUL LENS EXT NEC                      ",13.19
13.2,"LINEAR EXTRACAP LENS EXT                      ",13.2
13.3,"SIMPL ASPIR LENS EXTRACT                      ",13.3
13.41,"CATARAC PHACOEMULS/ASPIR                      ",13.41
13.42,"POST CATARAC FRAG/ASPIR                       ",13.42
13.43,"CATARACT FRAG/ASPIR NEC                       ",13.43
13.51,"TEMP-INF XTRACAP LENS EX                      ",13.51
13.59,"EXTRACAP LENS EXTRAC NEC                      ",13.59
13.64,"AFTER-CATAR DISCISSION                        ",13.64
13.65,"AFTER-CATARACT EXCISION                       ",13.65
13.66,"AFTER CATAR FRAGMNTATION                      ",13.66
13.69,"CATARACT EXTRACTION NEC                       ",13.69
13.7,"INSERT PSEUDOPHAKOS NOS                       ",13.7
13.71,"INSERT LENS AT CATAR EXT                      ",13.71
13.72,"SECONDARY INSERT LENS                         ",13.72
13.8,"IMPLANTED LENS REMOVAL                        ",13.8
13.9,"OTHER OPERATIONS ON LENS                      ",13.9
14,"REMOV POST SEGMNT FB NOS                      ",14
14.01,"MAGNET REMOV POST SEG FB                      ",14.01
14.02,"NONMAG REMOV POST SEG FB                      ",14.02
14.11,"DIAGNOST VITREOUS ASPIR                       ",14.11
14.19,"DX PROC POST SEG NEC                          ",14.19
14.21,"CHORIORET LES DIATHERMY                       ",14.21
14.22,"CHORIORETIN LES CRYOTHER                      ",14.22
14.23,"CHORIORET LES XENON COAG                      ",14.23
14.24,"CHORIORET LES LASER COAG                      ",14.24
14.25,"CHORIORET LES P/COAG NOS                      ",14.25
14.26,"CHORIORET LES RADIOTHER                       ",14.26
14.27,"CHORIORET LES RAD IMPLAN                      ",14.27
14.29,"CHORIORET LES DESTR NEC                       ",14.29
14.31,"RETINAL TEAR DIATHERMY                        ",14.31
14.32,"RETINAL TEAR CRYOTHERAPY                      ",14.32
14.33,"RETINAL TEAR XENON COAG                       ",14.33
14.34,"RETINAL TEAR LASER COAG                       ",14.34
14.35,"RETINA TEAR PHOTOCOA NOS                      ",14.35
14.39,"RETINAL TEAR REPAIR NEC                       ",14.39
14.41,"SCLERAL BUCKLE W IMPLANT                      ",14.41
14.49,"SCLERAL BUCKLING NEC                          ",14.49
14.51,"DETACH RETINA-DIATHERMY                       ",14.51
14.52,"DETACH RETINA-CRYOTHERAP                      ",14.52
14.53,"DETACH RETINA XENON COAG                      ",14.53
14.54,"DETACH RETINA LASER COAG                      ",14.54
14.55,"DETACH RET PHOTOCOAG NOS                      ",14.55
14.59,"REPAIR RETINA DETACH NEC                      ",14.59
14.6,"REMOV PROS MAT POST SEG                       ",14.6
14.71,"ANTERIOR REMOV VITREOUS                       ",14.71
14.72,"VITREOUS REMOVAL NEC                          ",14.72
14.73,"ANTERIOR MECHAN VITRECT                       ",14.73
14.74,"MECH VITRECTOMY NEC                           ",14.74
14.75,"VITREOUS SUBSTITUT INJEC                      ",14.75
14.79,"VITREOUS OPERATION NEC                        ",14.79
14.9,"OTHER POST SEGMENT OPS                        ",14.9
15.01,"EXTRAOC MUSC-TEND BIOPSY                      ",15.01
15.09,"EXTRAOC MUSC DX PROC NEC                      ",15.09
15.11,"ONE EXTRAOC MUS RECESS                        ",15.11
15.12,"1 EXTRAOC MUSCL ADVANCE                       ",15.12
15.13,"1 EXTRAOC MUSCL RESECT                        ",15.13
15.19,"XTRAOC MUS OP/DETACH NEC                      ",15.19
15.21,"LENGTHEN 1 EXTRAOC MUSC                       ",15.21
15.22,"SHORTEN 1 EXTRAOC MUSC                        ",15.22
15.29,"OP ON 1 EXTRAOC MUSC NEC                      ",15.29
15.3,"TEMP DETACH >1 XTROC MUS                      ",15.3
15.4,"OTH OP ON >1 EXTRAOC MUS                      ",15.4
15.5,"EXTRAOCUL MUS TRANSPOSIT                      ",15.5
15.6,"REVIS EXTRAOC MUSC SURG                       ",15.6
15.7,"EXTRAOC MUSC INJ REPAIR                       ",15.7
15.9,"OTH EXTRAOC MUS-TEND OP                       ",15.9
16.01,"ORBITOTOMY W BONE FLAP                        ",16.01
16.02,"ORBITOTOMY W IMPLANT                          ",16.02
16.09,"ORBITOTOMY NEC                                ",16.09
16.1,"REMOVE PENETRAT FB EYE                        ",16.1
16.21,"OPHTHALMOSCOPY                                ",16.21
16.22,"DIAGNOSTIC ASP OF ORBIT                       ",16.22
16.23,"EYEBALL & ORBIT BIOPSY                        ",16.23
16.29,"EYEBAL/ORBIT DX PROC NEC                      ",16.29
16.31,"EYE EVISC W SYNCH IMPLAN                      ",16.31
16.39,"EYEBALL EVISCERATION NEC                      ",16.39
16.41,"EYE ENUC/IMPLAN/MUSC ATT                      ",16.41
16.42,"EYE ENUC W IMPLANT NEC                        ",16.42
16.49,"EYEBALL ENUCLEATION NEC                       ",16.49
16.51,"RADICAL ORBITOMAXILLECT                       ",16.51
16.52,"ORBIT EXENT W BONE REMOV                      ",16.52
16.59,"ORBITAL EXENTERATION NEC                      ",16.59
16.61,"2NDRY OCULAR IMP INSERT                       ",16.61
16.62,"REVIS/REINSERT OCUL IMP                       ",16.62
16.63,"REVIS ENUC SOCKET W GRFT                      ",16.63
16.64,"ENUC SOCKET REVIS NEC                         ",16.64
16.65,"2NDRY EXENT CAVITY GRAFT                      ",16.65
16.66,"REVIS EXENTER CAVITY NEC                      ",16.66
16.69,"2ND OP POST EYE REM NEC                       ",16.69
16.71,"REMOVE OCULAR IMPLANT                         ",16.71
16.72,"REMOVE ORBITAL IMPLANT                        ",16.72
16.81,"REPAIR OF ORBITAL WOUND                       ",16.81
16.82,"REPAIR EYEBALL RUPTURE                        ",16.82
16.89,"EYE/ORBIT INJ REPAIR NEC                      ",16.89
16.91,"RETROBULBAR INJECTION                         ",16.91
16.92,"EXCISION ORBITAL LESION                       ",16.92
16.93,"EXCISION EYE LESION NOS                       ",16.93
16.98,"OPERATION ON ORBIT NEC                        ",16.98
16.99,"OPERATION ON EYEBALL NEC                      ",16.99
