"DRG","MAJ_DX_CAT","PARTITION","DESCRIPTOR","WEIGHT","ARITH_LOS","MEAN_LOS","CUTOFF"
"        70","03                ","MEDICAL           ","OTITIS MEDIA & URI AGE 0-17","       52.95","            4.7","            3.2","         32 "
"        71","03                ","MEDICAL           ","LARYNGOTRACHEITIS          ","       81.97","            6.2","            4.8","         37 "
"        72","03                ","MEDICAL           ","NASAL TRAUMA & DEFORMITY   ","       57.41","            4.8","            3.4","         35 "
"        73","03                ","MEDICAL           ","OTHER EAR",NA,NA,NA,NA
"        74","03                ","MEDICAL           ","OTHER EAR",NA,NA,NA,NA
"        75","04                ","PROCEDURAL        ","MAJOR CHEST PROCEDURES     ","      300.63","           14.1","           11.5","         44 "
"        76","04                ","PROCEDURAL        ","OTHER RESP SYSTEM O.R.     ","      238.04","           14.9","           10.6","         43 "
"        77","04                ","PROCEDURAL        ","OTHER RESP SYSTEM O.R.     ","      102.89","            6.8","            4.5","         36 "
"        78","04                ","MEDICAL           ","PULMONARY EMBOLISM         ","      142.73","           10.3","            8.7","         41 "
"        79","04                ","MEDICAL           ","RESPIRATORY INFECTIONS &   ","      178.13","           12.3","            9.2","         41 "
"        80","04                ","MEDICAL           ","RESPIRATORY INFECTIONS &   ","      100.66","            8.4","            6.7","         39 "
"        81","04                ","MEDICAL           ","RESPIRATORY INFECTIONS &   ","      108.99","            5.9","            6.1","         38 "
"        82","04                ","MEDICAL           ","RESPIRATORY NEOPLASMS      ","      124.53","            9.7","            6.7","         39 "
"        83","04                ","MEDICAL           ","MAJOR CHEST TRAUMA W CC    ","       96.06","            8.2","            6.2","         38 "
"        84","04                ","MEDICAL           ","MAJOR CHEST TRAUMA W/O CC  ","        49.2","            5.1","            3.7","         32 "
"        85","04                ","MEDICAL           ","PLEURAL EFFUSION W CC      ","      116.43","            9.1","            6.8","         39 "
"        86","04                ","MEDICAL           ","PLEURAL EFFUSION W/O CC    ","       68.34","            5.6","            4.3","         36 "
"        87","04                ","MEDICAL           ","PULMONARY EDEMA &          ","      138.51","            8.4","              6","         38 "
"        88","04                ","MEDICAL           ","CHRONIC OBSTRUCTIVE        ","       99.42","            7.5","            5.9","         38 "
"        89","04                ","MEDICAL           ","SIMPLE PNEUMONIA & PLEURISY","      116.58","              9","            7.1","         39 "
"        90","04                ","MEDICAL           ","SIMPLE PNEUMONIA & PLEURISY","       72.82","            6.4","            5.4","         30 "
"        91","04                ","MEDICAL           ","SIMPLE PNEUMONIA & PLEURISY","       78.46","            5.5","            4.2","         36 "
"        92","04                ","MEDICAL           ","INTERSTITIAL LUNG DISEASE W","      119.97","              9","            6.9","         39 "
"        93","04                ","MEDICAL           ","INTERSTITIAL LUNG DISEASE  ","       80.28","            6.7","            5.2","         37 "
"        94","04                ","MEDICAL           ","PNEUMOTHORAX W CC          ","      124.72","            9.4","            7.1","         39 "
"        95","04                ","MEDICAL           ","PNEUMOTHORAX W/O CC        ","       61.08","            5.7","            4.4","         35 "
"        96","04                ","MEDICAL           ","BRONCHITIS & ASTHMA AGE >17","       94.57","            7.3","            5.9","         35 "
"        97","04                ","MEDICAL           ","BRONCHITIS & ASTHMA AGE >17","        64.5","            5.4","            4.6","         26 "
"        98","04                ","MEDICAL           ","BRONCHITIS & ASTHMA AGE    ","       82.62","            6.7","            5.5","         37 "
"        99","04                ","MEDICAL           ","RESPIRATORY SIGNS &        ","       79.62","            5.6","            4.1","         36 "
"       100","04                ","MEDICAL           ","RESPIRATORY SIGNS &        ","       49.83","            3.2","            2.6","         18 "
"       101","04                ","MEDICAL           ","OTHER RESPIRATORY SYSTEM   ","       92.32","            7.2","            5.1","         37 "
"       102","04                ","MEDICAL           ","OTHER RESPIRATORY SYSTEM   ","       52.72","            4.5","            3.3","         30 "
"       103","05                ","PROCEDURAL        ","HEART TRANSPLANT           ","     1403.23","           36.1","           25.2","         57 "
"       104","05                ","PROCEDURAL        ","CARDIAC VALVE PROCEDURES W ","      825.75","           22.5","           18.1","         50 "
"       105","05                ","PROCEDURAL        ","CARDIAC VALVE PROCEDURES   ","      615.81","           16.3","           12.7","         45 "
"       106","05                ","PROCEDURAL        ","CORONARY BYPASS W CARDIAC  ","       544.7","           15.7","           13.6","         46 "
"       107","05                ","PROCEDURAL        ","CORONARY BYPASS W/O CARDIAC","      496.16","           13.9","           11.3","         43 "
"       108","05                ","PROCEDURAL        ","OTHER CARDIOTHORACIC       ","         596","           16.7","           12.7","         45 "
"       109","05                ","PROCEDURAL        ","NO LONGER VALID            ","           0","              0","              0","          0 "
"       110","05                ","PROCEDURAL        ","MAJOR CARDIOVASCULAR       ","      427.03","           14.6","           10.3","         42 "
"       111","05                ","PROCEDURAL        ","MAJOR CARDIOVASCULAR       ","       239.8","            8.9","            7.5","         40 "
"       112","05                ","PROCEDURAL        ","PERCUTANEOUS CARDIOVASCULAR","      201.63","            6.4","            4.8","         37 "
"       113","05                ","PROCEDURAL        ","AMPUTATION FOR CIRC SYSTEM ","      269.25","           19.4","           14.3","         46 "
"       114","05                ","PROCEDURAL        ","UPPER LIMB & TOE AMPUTATION","      154.99","           12.7","              9","         41 "
"       115","05                ","PROCEDURAL        ","PERM CARDIAC PACEMAKER     ","      367.95","           14.5","           11.9","         44 "
"       116","05                ","PROCEDURAL        ","PERM CARDIAC PACEMAKER     ","      249.73","            7.5","            5.7","         38 "
"       117","05                ","PROCEDURAL        ","CARDIAC PACEMAKER REVISION ","      127.43","            5.6","            3.7","         36 "
"       118","05                ","PROCEDURAL        ","CARDIAC PACEMAKER DEVICE   ","      169.57","            4.4","            2.8","         35 "
"       119","05                ","PROCEDURAL        ","VEIN LIGATION & STRIPPING  ","       93.79","            6.2","            3.5","         36 "
"       120","05                ","PROCEDURAL        ","OTHER CIRCULATORY SYSTEM   ","      207.36","           12.9","            7.4","         39 "
"       121","05                ","MEDICAL           ","CIRCULATORY DISORDERS W AMI","       162.1","             10","            8.2","         40 "
"       122","05                ","MEDICAL           ","CIRCULATORY DISORDERS W AMI","      116.67","            7.3","              6","         38 "
"       123","05                ","MEDICAL           ","CIRCULATORY DISORDERS W    ","       139.2","            5.5","              3","         35 "
"       124","05                ","MEDICAL           ","CIRCULATORY DISORDERS      ","      119.73","            5.9","            4.2","         36 "
"       125","05                ","MEDICAL           ","CIRCULATORY DISORDERS      ","       73.87","            3.2","            2.2","         22 "
"       126","05                ","MEDICAL           ","ACUTE & SUBACUTE           ","      288.74","           21.9","           16.3","         48 "
"       127","05                ","MEDICAL           ","HEART FAILURE & SHOCK      ","       100.7","            7.9","              6","         38 "
"       128","05                ","MEDICAL           ","DEEP VEIN THROMBOPHLEBITIS ","       79.06","            8.6","            7.4","         33 "
"       129","05                ","MEDICAL           ","CARDIAC ARREST",NA,NA,NA,NA
"       130","05                ","MEDICAL           ","PERIPHERAL VASCULAR        ","       91.18","            8.2","            6.1","         38 "
"       131","05                ","MEDICAL           ","PERIPHERAL VASCULAR        ","       58.82","              6","            4.5","         37 "
"       132","05                ","MEDICAL           ","ATHEROSCLEROSIS W CC       ","       73.12","            5.6","              4","         36 "
"       133","05                ","MEDICAL           ","ATHEROSCLEROSIS W/O CC     ","       53.42","            4.4","              3","         26 "
"       134","05                ","MEDICAL           ","HYPERTENSION               ","       56.63","            5.2","            3.9","         30 "
"       135","05                ","MEDICAL           ","CARDIAC CONGENITAL &       ","        87.7","            7.1","            4.9","         37 "
"       136","05                ","MEDICAL           ","CARDIAC CONGENITAL &       ","       54.34","            4.2","            3.2","         27 "
"       137","05                ","MEDICAL           ","CARDIAC CONGENITAL &       ","       62.39","              0","            3.3","         35 "
"       138","05                ","MEDICAL           ","CARDIAC ARRHYTHMIA &       ","       82.11","            6.1","            4.5","         36 "
"       139","05                ","MEDICAL           ","CARDIAC ARRHYTHMIA &       ","       51.49","            3.9","            3.1","         23 "
"       140","05                ","MEDICAL           ","ANGINA PECTORIS            ","       62.26","            4.6","            3.7","         25 "
"       141","05                ","MEDICAL           ","SYNCOPE & COLLAPSE W CC    ","        69.5","            5.8","            4.3","         35 "
"       142","05                ","MEDICAL           ","SYNCOPE & COLLAPSE W/O CC  ","       50.06","              4","            3.1","         22 "
"       143","05                ","MEDICAL           ","CHEST PAIN                 ","       51.18","            3.4","            2.7","         18 "
"       144","05                ","MEDICAL           ","OTHER CIRCULATORY SYSTEM   ","      108.88","            7.4","            5.2","         37 "
"       145","05                ","MEDICAL           ","OTHER CIRCULATORY SYSTEM   ","       64.54","            4.7","            3.4","         34 "
"       146","06                ","PROCEDURAL        ","RECTAL RESECTION W CC      ","      257.77","           14.4","           12.4","         44 "
"       147","06                ","PROCEDURAL        ","RECTAL RESECTION W/O CC    ","      163.01","            9.8","              9","         34 "
"       148","06                ","PROCEDURAL        ","MAJOR SMALL & LARGE BOWEL  ","      318.04","           16.8","           13.5","         46 "
"       149","06                ","PROCEDURAL        ","MAJOR SMALL & LARGE BOWEL  ","      154.43","            9.7","            8.9","         29 "
"       150","06                ","PROCEDURAL        ","PERITONEAL ADHESIOLYSIS W  ","      250.69","           14.1","           11.4","         43 "
"       151","06                ","PROCEDURAL        ","PERITONEAL ADHESIOLYSIS W/O","      120.42","            8.1","            6.7","         39 "
"       152","06                ","PROCEDURAL        ","MINOR SMALL & LARGE BOWEL  ","      172.55","           10.8","            8.7","         41 "
"       153","06                ","PROCEDURAL        ","MINOR SMALL & LARGE BOWEL  ","      105.34","            7.4","            6.7","         28 "
"       154","06                ","PROCEDURAL        ","STOMACH",NA,NA,NA,NA
"       155","06                ","PROCEDURAL        ","STOMACH",NA,NA,NA,NA
"       156","06                ","PROCEDURAL        ","STOMACH",NA,NA,NA,NA
"       157","06                ","PROCEDURAL        ","ANAL & STOMAL PROCEDURES W ","       93.72","            6.7","            4.6","         37 "
"       158","06                ","PROCEDURAL        ","ANAL & STOMAL PROCEDURES   ","       49.09","            3.2","            2.5","         18 "
"       159","06                ","PROCEDURAL        ","HERNIA PROCEDURES EXCEPT   ","      107.01","            6.5","            4.9","         37 "
"       160","06                ","PROCEDURAL        ","HERNIA PROCEDURES EXCEPT   ","       61.56","            3.6","            2.9","         20 "
"       161","06                ","PROCEDURAL        ","INGUINAL & FEMORAL HERNIA  ","       73.82","            4.6","            3.2","         34 "
"       162","06                ","PROCEDURAL        ","INGUINAL & FEMORAL HERNIA  ","       44.76","            2.3","            1.8","         11 "
"       163","06                ","PROCEDURAL        ","HERNIA PROCEDURES AGE 0-17 ","       66.12","            4.9","              4","         33 "
"       164","06                ","PROCEDURAL        ","APPENDECTOMY W COMPLICATED ","      217.33","           11.6","            9.8","         42 "
"       165","06                ","PROCEDURAL        ","APPENDECTOMY W COMPLICATED ","      125.62","            7.6","            6.9","         25 "
"       166","06                ","PROCEDURAL        ","APPENDECTOMY W/O           ","      129.31","            7.6","            6.1","         35 "
"       167","06                ","PROCEDURAL        ","APPENDECTOMY W/O           ","       75.97","            4.4","              4","         15 "
"       168","03                ","PROCEDURAL        ","MOUTH PROCEDURES W CC      ","      106.01","            6.7","            3.8","         36 "
"       169","03                ","PROCEDURAL        ","MOUTH PROCEDURES W/O CC    ","       54.06","            2.7","              2","         17 "
"       170","06                ","PROCEDURAL        ","OTHER DIGESTIVE SYSTEM O.R.","      275.82","           16.5","           11.1","         43 "
"       171","06                ","PROCEDURAL        ","OTHER DIGESTIVE SYSTEM O.R.","      113.03","            7.4","            5.3","         37 "
"       172","06                ","MEDICAL           ","DIGESTIVE MALIGNANCY W CC  ","      125.49","           10.4","              7","         39 "
"       173","06                ","MEDICAL           ","DIGESTIVE MALIGNANCY W/O CC","       62.18","            5.5","            3.6","         36 "
"       174","06                ","MEDICAL           ","G.I. HEMORRHAGE W CC       ","       97.35","            7.1","            5.5","         37 "
"       175","06                ","MEDICAL           ","G.I. HEMORRHAGE W/O CC     ","       57.23","            4.6","            3.8","         23 "
"       176","06                ","MEDICAL           ","COMPLICATED PEPTIC ULCER   ","      102.35","            7.8","            5.9","         38 "
"       177","06                ","MEDICAL           ","UNCOMPLICATED PEPTIC ULCER ","        78.4","            6.4","            5.1","         32 "
"       178","06                ","MEDICAL           ","UNCOMPLICATED PEPTIC ULCER ","       56.56","            4.5","            3.8","         22 "
"       179","06                ","MEDICAL           ","INFLAMMATORY BOWEL DISEASE ","      111.41","            9.6","            7.1","         39 "
"       180","06                ","MEDICAL           ","G.I. OBSTRUCTION W CC      ","       92.16","            7.8","            5.8","         38 "
"       181","06                ","MEDICAL           ","G.I. OBSTRUCTION W/O CC    ","       49.88","            4.7","            3.8","         26 "
"       182","06                ","MEDICAL           ","ESOPHAGITIS",NA,NA,NA,NA
"       183","06                ","MEDICAL           ","ESOPHAGITIS",NA,NA,NA,NA
"       184","06                ","MEDICAL           ","ESOPHAGITIS",NA,NA,NA,NA
"       185","03                ","MEDICAL           ","DENTAL & ORAL DIS EXCEPT   ","       77.66","            6.3","            4.3","         36 "
"       186","03                ","MEDICAL           ","DENTAL & ORAL DIS EXCEPT   ","       40.62","              6","            2.9","         23 "
"       187","03                ","MEDICAL           ","DENTAL EXTRACTIONS &       ","       50.94","            3.6","            2.3","         26 "
"       188","06                ","MEDICAL           ","OTHER DIGESTIVE SYSTEM     ","       98.46","            7.5","            5.2","         37 "
"       189","06                ","MEDICAL           ","OTHER DIGESTIVE SYSTEM     ","       46.97","            3.9","            2.8","         30 "
"       190","06                ","MEDICAL           ","OTHER DIGESTIVE SYSTEM     ","       75.55","            5.4","            4.2","         36 "
"       191","07                ","PROCEDURAL        ","PANCREAS",NA,NA,NA,NA
"       192","07                ","PROCEDURAL        ","PANCREAS",NA,NA,NA,NA
"       193","07                ","PROCEDURAL        ","BILIARY TRACT PROC EXCEPT  ","      302.75","             17","             14","         46 "
"       194","07                ","PROCEDURAL        ","BILIARY TRACT PROC EXCEPT  ","      161.89","           10.5","            8.8","         41 "
"       195","07                ","PROCEDURAL        ","CHOLECYSTECTOMY W C.D.E. W ","      220.99","           12.6","           10.6","         43 "
"       196","07                ","PROCEDURAL        ","CHOLECYSTECTOMY W C.D.E.   ","      135.47","            8.4","            7.6","         28 "
"       197","07                ","PROCEDURAL        ","CHOLECYSTECTOMY W/O C.D.E. ","      168.72","            9.6","            7.8","         40 "
"       198","07                ","PROCEDURAL        ","CHOLECYSTECTOMY W/O C.D.E. ","       90.76","            5.3","            4.5","         25 "
"       199","07                ","PROCEDURAL        ","HEPATOBILIARY DIAGNOSTIC   ","      240.49","           15.5","           11.9","         44 "
"       200","07                ","PROCEDURAL        ","HEPATOBILIARY DIAGNOSTIC   ","       279.6","           14.6","            9.4","         41 "
"       201","07                ","PROCEDURAL        ","OTHER HEPATOBILIARY OR     ","      230.34","           12.7","            8.8","         41 "
"       202","07                ","MEDICAL           ","CIRRHOSIS & ALCOHOLIC      ","      122.31","             10","            7.2","         39 "
"       203","07                ","MEDICAL           ","MALIGNANCY OF HEPATOBILIARY","      117.84","            9.9","            6.8","         39 "
"       204","07                ","MEDICAL           ","DISORDERS OF PANCREAS      ","       108.7","            8.1","            6.1","         38 "
"       205","07                ","MEDICAL           ","DISORDERS OF LIVER EXCEPT  ","      124.02","            9.4","            6.7","         39 "
"       206","07                ","MEDICAL           ","DISORDERS OF LIVER EXCEPT  ","       60.29","            5.3","            3.7","         36 "
"       207","07                ","MEDICAL           ","DISORDERS OF THE BILIARY   ","       97.32","            7.3","            5.5","         37 "
"       208","07                ","MEDICAL           ","DISORDERS OF THE BILIARY   ","       55.32","            4.2","            3.3","         26 "
"       209","08                ","PROCEDURAL        ","MAJOR JOINT & LIMB         ","      237.95","           11.4","           10.1","         36 "
"       210","08                ","PROCEDURAL        ","HIP & FEMUR PROCEDURES     ","      193.86","           13.8","           11.4","         43 "
"       211","08                ","PROCEDURAL        ","HIP & FEMUR PROCEDURES     ","      137.47","           10.2","              9","         36 "
"       212","08                ","PROCEDURAL        ","HIP & FEMUR PROCEDURES     ","       91.39","            5.8","              4","         36 "
"       213","08                ","PROCEDURAL        ","AMPUTATION FOR             ","      174.71","           13.3","            9.4","         41 "
"       214","08                ","PROCEDURAL        ","BACK & NECK PROCEDURES W CC","      187.48","           11.4","            8.9","         41 "
"       215","08                ","PROCEDURAL        ","BACK & NECK PROCEDURES W/O ","      111.56","            6.9","            5.8","         33 "
"       216","08                ","PROCEDURAL        ","BIOPSIES OF MUSCULOSKELETAL","      203.21","           14.9","           10.1","         42 "
"       217","08                ","PROCEDURAL        ","WND DEBRID & SKN GRFT      ","      316.41","           22.3","           14.1","         46 "
"       218","08                ","PROCEDURAL        ","LOWER EXTREM & HUMER PROC  ","      141.12","            9.5","            7.2","         39 "
"       219","08                ","PROCEDURAL        ","LOWER EXTREM & HUMER PROC  ","       89.77","            5.6","            4.6","         29 "
"       220","08                ","PROCEDURAL        ","LOWER EXTREM & HUMER PROC  ","        91.3","            4.7","            5.3","         37 "
"       221","08                ","PROCEDURAL        ","KNEE PROCEDURES W CC       ","       183.5","           11.3","            7.7","         40 "
"       222","08                ","PROCEDURAL        ","KNEE PROCEDURES W/O CC     ","       97.21","            5.5","            3.9","         36 "
"       223","08                ","PROCEDURAL        ","MAJOR SHOULDER/ELBOW PROC",NA,NA,NA,NA
"       224","08                ","PROCEDURAL        ","SHOULDER",NA,NA,NA,NA
"       225","08                ","PROCEDURAL        ","FOOT PROCEDURES            ","       78.25","            5.2","            3.3","         35 "
"       226","08                ","PROCEDURAL        ","SOFT TISSUE PROCEDURES W CC","      136.13","            9.6","            6.1","         38 "
"       227","08                ","PROCEDURAL        ","SOFT TISSUE PROCEDURES W/O ","       67.91","            4.1","            2.9","         25 "
"       228","08                ","PROCEDURAL        ","MAJOR THUMB OR JOINT       ","       80.15","            3.9","            2.6","         28 "
"       229","08                ","PROCEDURAL        ","HAND OR WRIST PROC",NA,NA,NA,NA
"       230","08                ","PROCEDURAL        ","LOCAL EXCISION & REMOVAL OF","       92.78","            6.9","            4.1","         36 "
"       231","08                ","PROCEDURAL        ","LOCAL EXCISION & REMOVAL OF","      108.17","            6.8","              4","         36 "
"       232","08                ","PROCEDURAL        ","ARTHROSCOPY                ","      124.48","            7.6","              4","         36 "
"       233","08                ","PROCEDURAL        ","OTHER MUSCULOSKELET SYS &  ","      198.73","           12.9","              9","         41 "
"       234","08                ","PROCEDURAL        ","OTHER MUSCULOSKELET SYS &  ","      103.65","            6.4","            4.6","         37 "
"       235","08                ","MEDICAL           ","FRACTURES OF FEMUR         ","      109.74","           12.5","            7.4","         39 "
"       236","08                ","MEDICAL           ","FRACTURES OF HIP & PELVIS  ","       84.28","            9.4","            6.6","         39 "
"       237","08                ","MEDICAL           ","SPRAINS",NA,NA,NA,NA
"       238","08                ","MEDICAL           ","OSTEOMYELITIS              ","      158.84","           14.4","           10.6","         43 "
"       239","08                ","MEDICAL           ","PATHOLOGICAL FRACTURES &   ","      102.69","           10.3","            7.5","         40 "
"       240","08                ","MEDICAL           ","CONNECTIVE TISSUE DISORDERS","      114.86","            9.9","            7.1","         39 "
"       241","08                ","MEDICAL           ","CONNECTIVE TISSUE DISORDERS","       57.04","              6","            4.5","         36 "
"       242","08                ","MEDICAL           ","SEPTIC ARTHRITIS           ","      125.58","           11.5","            8.2","         40 "
"       243","08                ","MEDICAL           ","MEDICAL BACK PROBLEMS      ","       66.72","            6.8","              5","         37 "
"       244","08                ","MEDICAL           ","BONE DISEASES & SPECIFIC   ","       76.65","            7.7","            5.4","         37 "
"       245","08                ","MEDICAL           ","BONE DISEASES & SPECIFIC   ","       54.34","            5.4","              4","         36 "
"       246","08                ","MEDICAL           ","NON-SPECIFIC ARTHROPATHIES ","       58.72","            5.9","            4.4","         36 "
"       247","08                ","MEDICAL           ","SIGNS & SYMPTOMS OF        ","       54.45","            5.1","            3.6","         36 "
"       248","08                ","MEDICAL           ","TENDONITIS",NA,NA,NA,NA
"       249","08                ","MEDICAL           ","AFTERCARE",NA,NA,NA,NA
"       250","08                ","MEDICAL           ","FX",NA,NA,NA,NA
"       251","08                ","MEDICAL           ","FX",NA,NA,NA,NA
"       252","08                ","MEDICAL           ","FX",NA,NA,NA,NA
"       253","08                ","MEDICAL           ","FX",NA,NA,NA,NA
