"DIAG","DIAG_DESC","DIAG_C","DIAG_5"
11,"TB LUNG W CAVITY-NO EXAM                   ",11.21,1121
11,"TB LUNG CAVITY-EXAM UNKN                   ",11.22,1122
11,"TB LUNG W CAVIT-MICRO DX                   ",11.23,1123
11,"TB LUNG W CAVITY-CULT DX                   ",11.24,1124
11,"TB LUNG W CAVIT-HISTO DX                   ",11.25,1125
11,"TB LUNG W CAVIT-OTH TEST                   ",11.26,1126
11,"TB OF BRONCHUS-UNSPEC                      ",11.3,1130
11,"TB OF BRONCHUS-NO EXAM                     ",11.31,1131
11,"TB OF BRONCHUS-EXAM UNKN                   ",11.32,1132
11,"TB OF BRONCHUS-MICRO DX                    ",11.33,1133
11,"TB OF BRONCHUS-CULT DX                     ",11.34,1134
11,"TB OF BRONCHUS-HISTO DX                    ",11.35,1135
11,"TB OF BRONCHUS-OTH TEST                    ",11.36,1136
11,"TB LUNG FIBROSIS-UNSPEC                    ",11.4,1140
11,"TB LUNG FIBROSIS-NO EXAM                   ",11.41,1141
11,"TB LUNG FIBROS-EXAM UNKN                   ",11.42,1142
11,"TB LUNG FIBROS-MICRO DX                    ",11.43,1143
11,"TB LUNG FIBROSIS-CULT DX                   ",11.44,1144
11,"TB LUNG FIBROS-HISTO DX                    ",11.45,1145
11,"TB LUNG FIBROS-OTH TEST                    ",11.46,1146
11,"TB BRONCHIECTASIS-UNSPEC                   ",11.5,1150
11,"TB BRONCHIECT-NO EXAM                      ",11.51,1151
11,"TB BRONCHIECT-EXAM UNKN                    ",11.52,1152
11,"TB BRONCHIECT-MICRO DX                     ",11.53,1153
11,"TB BRONCHIECT-CULT DX                      ",11.54,1154
11,"TB BRONCHIECT-HISTO DX                     ",11.55,1155
11,"TB BRONCHIECT-OTH TEST                     ",11.56,1156
11,"TB PNEUMONIA-UNSPEC                        ",11.6,1160
11,"TB PNEUMONIA-NO EXAM                       ",11.61,1161
11,"TB PNEUMONIA-EXAM UNKN                     ",11.62,1162
11,"TB PNEUMONIA-MICRO DX                      ",11.63,1163
11,"TB PNEUMONIA-CULT DX                       ",11.64,1164
11,"TB PNEUMONIA-HISTO DX                      ",11.65,1165
11,"TB PNEUMONIA-OTH TEST                      ",11.66,1166
11,"TB PNEUMOTHORAX-UNSPEC                     ",11.7,1170
11,"TB PNEUMOTHORAX-NO EXAM                    ",11.71,1171
11,"TB PNEUMOTHORX-EXAM UNKN                   ",11.72,1172
11,"TB PNEUMOTHORAX-MICRO DX                   ",11.73,1173
11,"TB PNEUMOTHORAX-CULT DX                    ",11.74,1174
11,"TB PNEUMOTHORAX-HISTO DX                   ",11.75,1175
11,"TB PNEUMOTHORAX-OTH TEST                   ",11.76,1176
11,"PULMONARY TB NEC-UNSPEC                    ",11.8,1180
11,"PULMONARY TB NEC-NO EXAM                   ",11.81,1181
11,"PULMON TB NEC-EXAM UNKN                    ",11.82,1182
11,"PULMON TB NEC-MICRO DX                     ",11.83,1183
11,"PULMON TB NEC-CULT DX                      ",11.84,1184
11,"PULMON TB NEC-HISTO DX                     ",11.85,1185
11,"PULMON TB NEC-OTH TEST                     ",11.86,1186
11,"PULMONARY TB NOS-UNSPEC                    ",11.9,1190
11,"PULMONARY TB NOS-NO EXAM                   ",11.91,1191
11,"PULMON TB NOS-EXAM UNKN                    ",11.92,1192
11,"PULMON TB NOS-MICRO DX                     ",11.93,1193
11,"PULMON TB NOS-CULT DX                      ",11.94,1194
11,"PULMON TB NOS-HISTO DX                     ",11.95,1195
11,"PULMON TB NOS-OTH TEST                     ",11.96,1196
12,"TB PLEURISY-UNSPEC                         ",12,1200
12,"TB PLEURISY-NO EXAM                        ",12.01,1201
12,"TB PLEURISY-EXAM UNKN                      ",12.02,1202
12,"TB PLEURISY-MICRO DX                       ",12.03,1203
12,"TB PLEURISY-CULT DX                        ",12.04,1204
12,"TB PLEURISY-HISTOLOG DX                    ",12.05,1205
12,"TB PLEURISY-OTH TEST                       ",12.06,1206
12,"TB THORACIC NODES-UNSPEC                   ",12.1,1210
12,"TB THORAX NODE-NO EXAM                     ",12.11,1211
12,"TB THORAX NODE-EXAM UNKN                   ",12.12,1212
12,"TB THORAX NODE-MICRO DX                    ",12.13,1213
12,"TB THORAX NODE-CULT DX                     ",12.14,1214
12,"TB THORAX NODE-HISTO DX                    ",12.15,1215
12,"TB THORAX NODE-OTH TEST                    ",12.16,1216
12,"ISOL TRACHEAL TB-UNSPEC                    ",12.2,1220
12,"ISOL TRACHEAL TB-NO EXAM                   ",12.21,1221
12,"ISOL TRACH TB-EXAM UNKN                    ",12.22,1222
12,"ISOLAT TRACH TB-MICRO DX                   ",12.23,1223
12,"ISOL TRACHEAL TB-CULT DX                   ",12.24,1224
12,"ISOLAT TRACH TB-HISTO DX                   ",12.25,1225
12,"ISOLAT TRACH TB-OTH TEST                   ",12.26,1226
12,"TB LARYNGITIS-UNSPEC                       ",12.3,1230
12,"TB LARYNGITIS-NO EXAM                      ",12.31,1231
12,"TB LARYNGITIS-EXAM UNKN                    ",12.32,1232
12,"TB LARYNGITIS-MICRO DX                     ",12.33,1233
12,"TB LARYNGITIS-CULT DX                      ",12.34,1234
12,"TB LARYNGITIS-HISTO DX                     ",12.35,1235
12,"TB LARYNGITIS-OTH TEST                     ",12.36,1236
12,"RESP TB NEC-UNSPEC                         ",12.8,1280
12,"RESP TB NEC-NO EXAM                        ",12.81,1281
12,"RESP TB NEC-EXAM UNKN                      ",12.82,1282
12,"RESP TB NEC-MICRO DX                       ",12.83,1283
12,"RESP TB NEC-CULT DX                        ",12.84,1284
12,"RESP TB NEC-HISTO DX                       ",12.85,1285
12,"RESP TB NEC-OTH TEST                       ",12.86,1286
13,"TB MENINGITIS-UNSPEC                       ",13,1300
13,"TB MENINGITIS-NO EXAM                      ",13.01,1301
13,"TB MENINGITIS-EXAM UNKN                    ",13.02,1302
13,"TB MENINGITIS-MICRO DX                     ",13.03,1303
13,"TB MENINGITIS-CULT DX                      ",13.04,1304
13,"TB MENINGITIS-HISTO DX                     ",13.05,1305
13,"TB MENINGITIS-OTH TEST                     ",13.06,1306
13,"TUBRCLMA MENINGES-UNSPEC                   ",13.1,1310
13,"TUBRCLMA MENING-NO EXAM                    ",13.11,1311
13,"TUBRCLMA MENIN-EXAM UNKN                   ",13.12,1312
13,"TUBRCLMA MENING-MICRO DX                   ",13.13,1313
13,"TUBRCLMA MENING-CULT DX                    ",13.14,1314
13,"TUBRCLMA MENING-HISTO DX                   ",13.15,1315
13,"TUBRCLMA MENING-OTH TEST                   ",13.16,1316
13,"TUBERCULOMA BRAIN-UNSPEC                   ",13.2,1320
13,"TUBRCLOMA BRAIN-NO EXAM                    ",13.21,1321
13,"TUBRCLMA BRAIN-EXAM UNKN                   ",13.22,1322
13,"TUBRCLOMA BRAIN-MICRO DX                   ",13.23,1323
13,"TUBRCLOMA BRAIN-CULT DX                    ",13.24,1324
13,"TUBRCLOMA BRAIN-HISTO DX                   ",13.25,1325
13,"TUBRCLOMA BRAIN-OTH TEST                   ",13.26,1326
13,"TB BRAIN ABSCESS-UNSPEC                    ",13.3,1330
13,"TB BRAIN ABSCESS-NO EXAM                   ",13.31,1331
13,"TB BRAIN ABSC-EXAM UNKN                    ",13.32,1332
13,"TB BRAIN ABSC-MICRO DX                     ",13.33,1333
13,"TB BRAIN ABSCESS-CULT DX                   ",13.34,1334
13,"TB BRAIN ABSC-HISTO DX                     ",13.35,1335
13,"TB BRAIN ABSC-OTH TEST                     ",13.36,1336
13,"TUBRCLMA SP CORD-UNSPEC                    ",13.4,1340
13,"TUBRCLMA SP CORD-NO EXAM                   ",13.41,1341
13,"TUBRCLMA SP CD-EXAM UNKN                   ",13.42,1342
13,"TUBRCLMA SP CRD-MICRO DX                   ",13.43,1343
13,"TUBRCLMA SP CORD-CULT DX                   ",13.44,1344
13,"TUBRCLMA SP CRD-HISTO DX                   ",13.45,1345
13,"TUBRCLMA SP CRD-OTH TEST                   ",13.46,1346
13,"TB SP CRD ABSCESS-UNSPEC                   ",13.5,1350
13,"TB SP CRD ABSC-NO EXAM                     ",13.51,1351
13,"TB SP CRD ABSC-EXAM UNKN                   ",13.52,1352
13,"TB SP CRD ABSC-MICRO DX                    ",13.53,1353
13,"TB SP CRD ABSC-CULT DX                     ",13.54,1354
13,"TB SP CRD ABSC-HISTO DX                    ",13.55,1355
13,"TB SP CRD ABSC-OTH TEST                    ",13.56,1356
13,"TB ENCEPHALITIS-UNSPEC                     ",13.6,1360
13,"TB ENCEPHALITIS-NO EXAM                    ",13.61,1361
13,"TB ENCEPHALIT-EXAM UNKN                    ",13.62,1362
13,"TB ENCEPHALITIS-MICRO DX                   ",13.63,1363
13,"TB ENCEPHALITIS-CULT DX                    ",13.64,1364
13,"TB ENCEPHALITIS-HISTO DX                   ",13.65,1365
13,"TB ENCEPHALITIS-OTH TEST                   ",13.66,1366
13,"CNS TB NEC-UNSPEC                          ",13.8,1380
13,"CNS TB NEC-NO EXAM                         ",13.81,1381
13,"CNS TB NEC-EXAM UNKN                       ",13.82,1382
13,"CNS TB NEC-MICRO DX                        ",13.83,1383
13,"CNS TB NEC-CULT DX                         ",13.84,1384
13,"CNS TB NEC-HISTO DX                        ",13.85,1385
13,"CNS TB NEC-OTH TEST                        ",13.86,1386
13,"CNS TB NOS-UNSPEC                          ",13.9,1390
13,"CNS TB NOS-NO EXAM                         ",13.91,1391
13,"CNS TB NOS-EXAM UNKN                       ",13.92,1392
13,"CNS TB NOS-MICRO DX                        ",13.93,1393
13,"CNS TB NOS-CULT DX                         ",13.94,1394
13,"CNS TB NOS-HISTO DX                        ",13.95,1395
13,"CNS TB NOS-OTH TEST                        ",13.96,1396
14,"TB PERITONITIS-UNSPEC                      ",14,1400
14,"TB PERITONITIS-NO EXAM                     ",14.01,1401
14,"TB PERITONITIS-EXAM UNKN                   ",14.02,1402
14,"TB PERITONITIS-MICRO DX                    ",14.03,1403
14,"TB PERITONITIS-CULT DX                     ",14.04,1404
14,"TB PERITONITIS-HISTO DX                    ",14.05,1405
14,"TB PERITONITIS-OTH TEST                    ",14.06,1406
14,"INTESTINAL TB NEC-UNSPEC                   ",14.8,1480
14,"INTESTIN TB NEC-NO EXAM                    ",14.81,1481
14,"INTEST TB NEC-EXAM UNKN                    ",14.82,1482
14,"INTESTIN TB NEC-MICRO DX                   ",14.83,1483
14,"INTESTIN TB NEC-CULT DX                    ",14.84,1484
14,"INTESTIN TB NEC-HISTO DX                   ",14.85,1485
14,"INTESTIN TB NEC-OTH TEST                   ",14.86,1486
15,"TB OF VERTEBRA-UNSPEC                      ",15,1500
15,"TB OF VERTEBRA-NO EXAM                     ",15.01,1501
15,"TB OF VERTEBRA-EXAM UNKN                   ",15.02,1502
15,"TB OF VERTEBRA-MICRO DX                    ",15.03,1503
15,"TB OF VERTEBRA-CULT DX                     ",15.04,1504
15,"TB OF VERTEBRA-HISTO DX                    ",15.05,1505
15,"TB OF VERTEBRA-OTH TEST                    ",15.06,1506
15,"TB OF HIP-UNSPEC                           ",15.1,1510
15,"TB OF HIP-NO EXAM                          ",15.11,1511
15,"TB OF HIP-EXAM UNKN                        ",15.12,1512
15,"TB OF HIP-MICRO DX                         ",15.13,1513
15,"TB OF HIP-CULT DX                          ",15.14,1514
15,"TB OF HIP-HISTO DX                         ",15.15,1515
15,"TB OF HIP-OTH TEST                         ",15.16,1516
15,"TB OF KNEE-UNSPEC                          ",15.2,1520
15,"TB OF KNEE-NO EXAM                         ",15.21,1521
15,"TB OF KNEE-EXAM UNKN                       ",15.22,1522
15,"TB OF KNEE-MICRO DX                        ",15.23,1523
15,"TB OF KNEE-CULT DX                         ",15.24,1524
15,"TB OF KNEE-HISTO DX                        ",15.25,1525
15,"TB OF KNEE-OTH TEST                        ",15.26,1526
15,"TB OF LIMB BONES-UNSPEC                    ",15.5,1550
15,"TB LIMB BONES-NO EXAM                      ",15.51,1551
15,"TB LIMB BONES-EXAM UNKN                    ",15.52,1552
15,"TB LIMB BONES-MICRO DX                     ",15.53,1553
15,"TB LIMB BONES-CULT DX                      ",15.54,1554
15,"TB LIMB BONES-HISTO DX                     ",15.55,1555
15,"TB LIMB BONES-OTH TEST                     ",15.56,1556
15,"TB OF MASTOID-UNSPEC                       ",15.6,1560
15,"TB OF MASTOID-NO EXAM                      ",15.61,1561
15,"TB OF MASTOID-EXAM UNKN                    ",15.62,1562
15,"TB OF MASTOID-MICRO DX                     ",15.63,1563
15,"TB OF MASTOID-CULT DX                      ",15.64,1564
15,"TB OF MASTOID-HISTO DX                     ",15.65,1565
15,"TB OF MASTOID-OTH TEST                     ",15.66,1566
15,"TB OF BONE NEC-UNSPEC                      ",15.7,1570
15,"TB OF BONE NEC-NO EXAM                     ",15.71,1571
15,"TB OF BONE NEC-EXAM UNKN                   ",15.72,1572
15,"TB OF BONE NEC-MICRO DX                    ",15.73,1573
15,"TB OF BONE NEC-CULT DX                     ",15.74,1574
15,"TB OF BONE NEC-HISTO DX                    ",15.75,1575
15,"TB OF BONE NEC-OTH TEST                    ",15.76,1576
15,"TB OF JOINT NEC-UNSPEC                     ",15.8,1580
15,"TB OF JOINT NEC-NO EXAM                    ",15.81,1581
15,"TB JOINT NEC-EXAM UNKN                     ",15.82,1582
15,"TB OF JOINT NEC-MICRO DX                   ",15.83,1583
15,"TB OF JOINT NEC-CULT DX                    ",15.84,1584
15,"TB OF JOINT NEC-HISTO DX                   ",15.85,1585
15,"TB OF JOINT NEC-OTH TEST                   ",15.86,1586
15,"TB BONE/JOINT NOS-UNSPEC                   ",15.9,1590
15,"TB BONE/JT NOS-NO EXAM                     ",15.91,1591
15,"TB BONE/JT NOS-EXAM UNKN                   ",15.92,1592
15,"TB BONE/JT NOS-MICRO DX                    ",15.93,1593
15,"TB BONE/JT NOS-CULT DX                     ",15.94,1594
15,"TB BONE/JT NOS-HISTO DX                    ",15.95,1595
15,"TB BONE/JT NOS-OTH TEST                    ",15.96,1596
16,"TB OF KIDNEY-UNSPEC                        ",16,1600
16,"TB OF KIDNEY-NO EXAM                       ",16.01,1601
16,"TB OF KIDNEY-EXAM UNKN                     ",16.02,1602
16,"TB OF KIDNEY-MICRO DX                      ",16.03,1603
16,"TB OF KIDNEY-CULT DX                       ",16.04,1604
16,"TB OF KIDNEY-HISTO DX                      ",16.05,1605
16,"TB OF KIDNEY-OTH TEST                      ",16.06,1606
16,"TB OF BLADDER-UNSPEC                       ",16.1,1610
16,"TB OF BLADDER-NO EXAM                      ",16.11,1611
16,"TB OF BLADDER-EXAM UNKN                    ",16.12,1612
16,"TB OF BLADDER-MICRO DX                     ",16.13,1613
16,"TB OF BLADDER-CULT DX                      ",16.14,1614
16,"TB OF BLADDER-HISTO DX                     ",16.15,1615
16,"TB OF BLADDER-OTH TEST                     ",16.16,1616
16,"TB OF URETER-UNSPEC                        ",16.2,1620
16,"TB OF URETER-NO EXAM                       ",16.21,1621
16,"TB OF URETER-EXAM UNKN                     ",16.22,1622
16,"TB OF URETER-MICRO DX                      ",16.23,1623
16,"TB OF URETER-CULT DX                       ",16.24,1624
16,"TB OF URETER-HISTO DX                      ",16.25,1625
16,"TB OF URETER-OTH TEST                      ",16.26,1626
16,"TB URINARY NEC-UNSPEC                      ",16.3,1630
16,"TB URINARY NEC-NO EXAM                     ",16.31,1631
16,"TB URINARY NEC-EXAM UNKN                   ",16.32,1632
16,"TB URINARY NEC-MICRO DX                    ",16.33,1633
16,"TB URINARY NEC-CULT DX                     ",16.34,1634
16,"TB URINARY NEC-HISTO DX                    ",16.35,1635
16,"TB URINARY NEC-OTH TEST                    ",16.36,1636
16,"TB EPIDIDYMIS-UNSPEC                       ",16.4,1640
16,"TB EPIDIDYMIS-NO EXAM                      ",16.41,1641
16,"TB EPIDIDYMIS-EXAM UNKN                    ",16.42,1642
16,"TB EPIDIDYMIS-MICRO DX                     ",16.43,1643
16,"TB EPIDIDYMIS-CULT DX                      ",16.44,1644
16,"TB EPIDIDYMIS-HISTO DX                     ",16.45,1645
16,"TB EPIDIDYMIS-OTH TEST                     ",16.46,1646
16,"TB MALE GENIT NEC-UNSPEC                   ",16.5,1650
16,"TB MALE GEN NEC-NO EXAM                    ",16.51,1651
16,"TB MALE GEN NEC-EX UNKN                    ",16.52,1652
16,"TB MALE GEN NEC-MICRO DX                   ",16.53,1653
16,"TB MALE GEN NEC-CULT DX                    ",16.54,1654
16,"TB MALE GEN NEC-HISTO DX                   ",16.55,1655
16,"TB MALE GEN NEC-OTH TEST                   ",16.56,1656
16,"TB OVARY & TUBE-UNSPEC                     ",16.6,1660
16,"TB OVARY & TUBE-NO EXAM                    ",16.61,1661
16,"TB OVARY/TUBE-EXAM UNKN                    ",16.62,1662
16,"TB OVARY & TUBE-MICRO DX                   ",16.63,1663
16,"TB OVARY & TUBE-CULT DX                    ",16.64,1664
16,"TB OVARY & TUBE-HISTO DX                   ",16.65,1665
16,"TB OVARY & TUBE-OTH TEST                   ",16.66,1666
16,"TB FEMALE GEN NEC-UNSPEC                   ",16.7,1670
16,"TB FEM GEN NEC-NO EXAM                     ",16.71,1671
16,"TB FEM GEN NEC-EXAM UNKN                   ",16.72,1672
16,"TB FEM GEN NEC-MICRO DX                    ",16.73,1673
16,"TB FEM GEN NEC-CULT DX                     ",16.74,1674
16,"TB FEM GEN NEC-HISTO DX                    ",16.75,1675
16,"TB FEM GEN NEC-OTH TEST                    ",16.76,1676
16,"GU TB NOS-UNSPEC                           ",16.9,1690
16,"GU TB NOS-NO EXAM                          ",16.91,1691
16,"GU TB NOS-EXAM UNKN                        ",16.92,1692
16,"GU TB NOS-MICRO DX                         ",16.93,1693
16,"GU TB NOS-CULT DX                          ",16.94,1694
16,"GU TB NOS-HISTO DX                         ",16.95,1695
16,"GU TB NOS-OTH TEST                         ",16.96,1696
17,"TB SKIN/SUBCUTAN-UNSPEC                    ",17,1700
17,"TB SKIN/SUBCUT-NO EXAM                     ",17.01,1701
17,"TB SKIN/SUBCUT-EXAM UNKN                   ",17.02,1702
17,"TB SKIN/SUBCUT-MICRO DX                    ",17.03,1703
17,"TB SKIN/SUBCUT-CULT DX                     ",17.04,1704
17,"TB SKIN/SUBCUT-HISTO DX                    ",17.05,1705
17,"TB SKIN/SUBCUT-OTH TEST                    ",17.06,1706
17,"ERYTHEMA NODOS TB-UNSPEC                   ",17.1,1710
17,"ERYTHEM NODOS TB-NO EXAM                   ",17.11,1711
17,"ERYTHEM NOD TB-EXAM UNKN                   ",17.12,1712
17,"ERYTHEM NOD TB-MICRO DX                    ",17.13,1713
17,"ERYTHEM NODOS TB-CULT DX                   ",17.14,1714
17,"ERYTHEM NOD TB-HISTO DX                    ",17.15,1715
17,"ERYTHEM NOD TB-OTH TEST                    ",17.16,1716
17,"TB PERIPH LYMPH-UNSPEC                     ",17.2,1720
17,"TB PERIPH LYMPH-NO EXAM                    ",17.21,1721
17,"TB PERIPH LYMPH-EXAM UNK                   ",17.22,1722
17,"TB PERIPH LYMPH-MICRO DX                   ",17.23,1723
17,"TB PERIPH LYMPH-CULT DX                    ",17.24,1724
17,"TB PERIPH LYMPH-HISTO DX                   ",17.25,1725
17,"TB PERIPH LYMPH-OTH TEST                   ",17.26,1726
17,"TB OF EYE-UNSPEC                           ",17.3,1730
17,"TB OF EYE-NO EXAM                          ",17.31,1731
17,"TB OF EYE-EXAM UNKN                        ",17.32,1732
17,"TB OF EYE-MICRO DX                         ",17.33,1733
17,"TB OF EYE-CULT DX                          ",17.34,1734
17,"TB OF EYE-HISTO DX                         ",17.35,1735
17,"TB OF EYE-OTH TEST                         ",17.36,1736
17,"TB OF EAR-UNSPEC                           ",17.4,1740
17,"TB OF EAR-NO EXAM                          ",17.41,1741
17,"TB OF EAR-EXAM UNKN                        ",17.42,1742
17,"TB OF EAR-MICRO DX                         ",17.43,1743
17,"TB OF EAR-CULT DX                          ",17.44,1744
17,"TB OF EAR-HISTO DX                         ",17.45,1745
17,"TB OF EAR-OTH TEST                         ",17.46,1746
17,"TB OF THYROID-UNSPEC                       ",17.5,1750
17,"TB OF THYROID-NO EXAM                      ",17.51,1751
17,"TB OF THYROID-EXAM UNKN                    ",17.52,1752
17,"TB OF THYROID-MICRO DX                     ",17.53,1753
17,"TB OF THYROID-CULT DX                      ",17.54,1754
17,"TB OF THYROID-HISTO DX                     ",17.55,1755
17,"TB OF THYROID-OTH TEST                     ",17.56,1756
17,"TB OF ADRENAL-UNSPEC                       ",17.6,1760
17,"TB OF ADRENAL-NO EXAM                      ",17.61,1761
17,"TB OF ADRENAL-EXAM UNKN                    ",17.62,1762
